Number	Latitude decimal	Longitude decimal	Length	Time	Duration	Speed	Knots	Bearing	Elevation	Elevation Delta	Elevation Gain	Elevation Loss	Latitude degrees	Longitude degrees	Name
1	51.817487	5.851248	0	2020-06-21T12:01:47Z	0			E	25.556152	0	0	0	51°49.049'N	5°51.075'E	
2	51.817412	5.851665	29.80820384988158	2020-06-21T12:02:01Z	14	2.129157417848684	4.138750920222936	W	25.994892	0.4387399999999992	0.4387399999999992	0	51°49.045'N	5°51.100'E	
3	51.817409	5.851431	16.06438883211945	2020-06-21T12:02:02Z	1	16.06438883211945	31.22667375573003	E	26.916077	0.9211850000000013	1.359925	0	51°49.045'N	5°51.086'E	
4	51.817429	5.851507	5.669369534996404	2020-06-21T12:02:04Z	2	2.834684767498202	5.510186373104943	E	20.223389	-6.692688	1.359925	-6.692688	51°49.046'N	5°51.090'E	
5	51.817419	5.851655	10.21869540904596	2020-06-21T12:02:07Z	3	3.40623180301532	6.621184930265302	E	25.332764	5.109375	6.4693	-6.692688	51°49.045'N	5°51.099'E	
6	51.817377	5.851812	11.74169292496455	2020-06-21T12:02:11Z	4	2.935423231241138	5.706006281028515	E	26.412170	1.079405999999999	7.548705999999999	-6.692688	51°49.043'N	5°51.109'E	
7	51.817343	5.851948	10.06903433677484	2020-06-21T12:02:14Z	3	3.356344778924945	6.524212313243004	E	25.351074	-1.061095999999999	7.548705999999999	-7.753784	51°49.041'N	5°51.117'E	
8	51.817297	5.852112	12.3609390691638	2020-06-21T12:02:18Z	4	3.09023476729095	6.006935832745119	E	25.505798	0.1547239999999981	7.703429999999997	-7.753784	51°49.038'N	5°51.127'E	
9	51.817250	5.852271	12.09674874848011	2020-06-21T12:02:22Z	4	3.024187187120027	5.87854960779088	E	26.297607	0.7918090000000007	8.495238999999998	-7.753784	51°49.035'N	5°51.136'E	
10	51.817214	5.852424	11.23641555876041	2020-06-21T12:02:26Z	4	2.809103889690102	5.460461124665887	SE	26.375732	0.078125	8.573363999999998	-7.753784	51°49.033'N	5°51.145'E	
11	51.817154	5.852583	12.78593501938674	2020-06-21T12:02:30Z	4	3.196483754846684	6.213467342032658	E	25.274780	-1.100951999999999	8.573363999999998	-8.854735999999999	51°49.029'N	5°51.155'E	
12	51.817118	5.852730	10.85254181020541	2020-06-21T12:02:33Z	3	3.617513936735138	7.031884542247541	E	24.697571	-0.5772089999999999	8.573363999999998	-9.431944999999999	51°49.027'N	5°51.164'E	
13	51.817076	5.852860	10.06792557758992	2020-06-21T12:02:36Z	3	3.355975192529973	6.523493894764657	E	24.930115	0.2325440000000008	8.805907999999999	-9.431944999999999	51°49.025'N	5°51.172'E	
14	51.816963	5.853217	27.52880825560863	2020-06-21T12:02:43Z	7	3.932686893658375	7.644531758728805	S	24.669617	-0.2604980000000019	8.805907999999999	-9.692443000000001	51°49.018'N	5°51.193'E	
15	51.816752	5.853403	26.68036911732672	2020-06-21T12:02:50Z	7	3.811481302475245	7.408926937854543	SE	25.153931	0.4843140000000012	9.290222	-9.692443000000001	51°49.005'N	5°51.204'E	
16	51.816567	5.853637	26.07470188468102	2020-06-21T12:02:56Z	6	4.345783647446836	8.447527608425347	E	24.552917	-0.6010139999999993	9.290222	-10.293457	51°48.994'N	5°51.218'E	
17	51.816536	5.854059	29.1689374639221	2020-06-21T12:03:01Z	5	5.83378749278442	11.33997568791435	E	23.737854	-0.8150630000000021	9.290222	-11.10852	51°48.992'N	5°51.244'E	
18	51.816494	5.854441	26.63112874233051	2020-06-21T12:03:06Z	5	5.326225748466102	10.35335458664795	E	23.284912	-0.4529420000000002	9.290222	-11.561462	51°48.990'N	5°51.266'E	
19	51.816510	5.854804	24.97879682322224	2020-06-21T12:03:30Z	24	1.040783200967593	2.02312069302493	E	25.083801	1.798889000000003	11.089111	-11.561462	51°48.991'N	5°51.288'E	
20	51.816527	5.855231	29.36907440319922	2020-06-21T12:03:37Z	7	4.195582057599888	8.155559075245625	E	25.907654	0.8238529999999997	11.912964	-11.561462	51°48.992'N	5°51.314'E	
21	51.816547	5.855621	26.86069485341149	2020-06-21T12:03:42Z	5	5.372138970682299	10.44260275078308	E	24.949463	-0.9581909999999993	11.912964	-12.519653	51°48.993'N	5°51.337'E	
22	51.816514	5.856041	29.05980231944369	2020-06-21T12:03:47Z	5	5.811960463888739	11.29754733800915	E	24.166687	-0.7827760000000019	11.912964	-13.302429	51°48.991'N	5°51.362'E	
23	51.816591	5.856421	27.44781334724669	2020-06-21T12:03:53Z	6	4.574635557874449	8.892380134094434	E	23.999756	-0.1669309999999982	11.912964	-13.46936	51°48.995'N	5°51.385'E	
24	51.816585	5.856810	26.70838655723809	2020-06-21T12:03:58Z	5	5.341677311447617	10.38339002224916	E	23.751160	-0.2485960000000027	11.912964	-13.717956	51°48.995'N	5°51.409'E	
25	51.816569	5.857244	29.84170759989081	2020-06-21T12:04:04Z	6	4.973617933315135	9.667939827175442	E	23.095154	-0.6560059999999979	11.912964	-14.373962	51°48.994'N	5°51.435'E	
26	51.816547	5.857706	31.80459472096353	2020-06-21T12:04:09Z	5	6.360918944192706	12.36463725652625	E	23.697327	0.6021730000000005	12.515137	-14.373962	51°48.993'N	5°51.462'E	
27	51.816559	5.858081	25.77363076727013	2020-06-21T12:04:13Z	4	6.443407691817534	12.52498255428505	E	24.317200	0.6198729999999983	13.13501	-14.373962	51°48.994'N	5°51.485'E	
28	51.816565	5.858507	29.2472779136934	2020-06-21T12:04:18Z	5	5.849455582738679	11.37043201827899	E	24.108154	-0.2090460000000007	13.13501	-14.583008	51°48.994'N	5°51.510'E	
29	51.816534	5.858904	27.46572906492215	2020-06-21T12:04:22Z	4	6.866432266230538	13.34727654342454	E	23.620605	-0.4875489999999978	13.13501	-15.070557	51°48.992'N	5°51.534'E	
30	51.816540	5.859306	27.60043967518081	2020-06-21T12:04:26Z	4	6.900109918795201	13.41274066288067	E	23.845215	0.2246099999999984	13.35962	-15.070557	51°48.992'N	5°51.558'E	
31	51.816539	5.859777	32.32859617683681	2020-06-21T12:04:31Z	5	6.465719235367362	12.56835272533221	E	22.856323	-0.9888919999999999	13.35962	-16.059449	51°48.992'N	5°51.587'E	
32	51.818840	5.876012	1143.219439181996	2020-06-21T12:07:51Z	200	5.716097195909981	11.11120405252134	NE	30.097473	7.241150000000001	20.60077	-16.059449	51°49.130'N	5°52.561'E	
33	51.818991	5.876383	30.48722165011606	2020-06-21T12:07:56Z	5	6.097444330023212	11.85248357887513	NE	30.897766	0.8002929999999999	21.401063	-16.059449	51°49.139'N	5°52.583'E	
34	51.819132	5.876729	28.44346466995098	2020-06-21T12:08:01Z	5	5.688692933990196	11.05793442891919	NE	31.440369	0.5426029999999997	21.943666	-16.059449	51°49.148'N	5°52.604'E	
35	51.819269	5.877062	27.45428946684308	2020-06-21T12:08:06Z	5	5.490857893368616	10.67337387479528	NE	33.695007	2.254637999999996	24.198304	-16.059449	51°49.156'N	5°52.624'E	
